wheezy,alien,alien,8.87
wheezy,alienblaster,alienblaster,1.1.0-7
wheezy,alienblaster-data,alienblaster,1.1.0-7
wheezy,alien-hunter,alien-hunter,1.7-1
wheezy,aliki,aliki,0.1.0-1
wheezy,aliki-dbg,aliki,0.1.0-1
wheezy,allegro4-doc,allegro4.4,2:4.4.2-2.1
wheezy,alleyoop,alleyoop,0.9.8-1
wheezy,alliance,alliance,5.0-20120515-1
wheezy,all-knowing-dns,all-knowing-dns,1.3-1
wheezy,alltray,alltray,0.71b-1
wheezy,almanah,almanah,0.9.1-1
wheezy,alpine,alpine,2.02+dfsg-2
wheezy,alpine-dbg,alpine,2.02+dfsg-2
wheezy,alpine-doc,alpine,2.02+dfsg-2
wheezy,alpine-pico,alpine,2.02+dfsg-2
wheezy,alqalam,alqalam,0.2-6
wheezy,alsa-base,alsa-base,1.0.25+2+nmu2
wheezy,alsamixergui,alsamixergui,0.9.0rc2-1-9.1
wheezy,alsa-oss,alsa-oss,1.0.25-1
wheezy,alsaplayer-alsa,alsaplayer,0.99.80-5.1
wheezy,alsaplayer-common,alsaplayer,0.99.80-5.1
wheezy,alsaplayer-daemon,alsaplayer,0.99.80-5.1
wheezy,alsaplayer-esd,alsaplayer,0.99.80-5.1
wheezy,alsaplayer-gtk,alsaplayer,0.99.80-5.1
wheezy,alsaplayer-jack,alsaplayer,0.99.80-5.1
wheezy,alsaplayer-nas,alsaplayer,0.99.80-5.1
wheezy,alsaplayer-oss,alsaplayer,0.99.80-5.1
wheezy,alsaplayer-text,alsaplayer,0.99.80-5.1
wheezy,alsaplayer-xosd,alsaplayer,0.99.80-5.1
wheezy,alsa-tools,alsa-tools,1.0.25-2
wheezy,alsa-tools-gui,alsa-tools,1.0.25-2
wheezy,alsa-utils,alsa-utils,1.0.25-4
wheezy,alsoft-conf,alsoft-conf,1.4.3-1
wheezy,alt-ergo,alt-ergo,0.94-2
wheezy,altermime,altermime,0.3.10-7
wheezy,alt-key,alt-key,2.2.5-1
wheezy,altree,altree,1.2.1-1
wheezy,altree-examples,altree,1.2.1-1
wheezy,alure-doc,alure,1.2-6
wheezy,alure-utils,alure,1.2-6
wheezy,amanda-client,amanda,1:3.3.1-4
wheezy,amanda-common,amanda,1:3.3.1-4
wheezy,amanda-server,amanda,1:3.3.1-4
wheezy,amap-align,amap-align,2.2-3
wheezy,amarok,amarok,2.6~beta1+75.g47e75df-1
wheezy,amarok-common,amarok,2.6~beta1+75.g47e75df-1
wheezy,amarok-dbg,amarok,2.6~beta1+75.g47e75df-1
wheezy,amarok-doc,amarok,2.6~beta1+75.g47e75df-1
wheezy,amarok-utils,amarok,2.6~beta1+75.g47e75df-1
wheezy,amavisd-milter,amavisd-milter,1.5.0-5
wheezy,amavisd-milter-dbg,amavisd-milter,1.5.0-5
wheezy,amavisd-new,amavisd-new,1:2.7.1-2
wheezy,ambdec,ambdec,0.5.1-2
wheezy,amb-plugins,amb-plugins,0.8.1-3
wheezy,amide,amide,1.0.1-1
wheezy,amideco,amideco,0.31e-3.1
wheezy,amiga-fdisk-cross,amiga-fdisk,0.04-14
wheezy,amispammer,amispammer,3.3-1
wheezy,amoebax,amoebax,0.2.1+dfsg-1
wheezy,amoebax-data,amoebax,0.2.1+dfsg-1
wheezy,amora-applet,amora-server,1.2~svn699-1
wheezy,amora-cli,amora-server,1.2~svn699-1
wheezy,amor,kdetoys,4:4.8.4-1
wheezy,ampache-themes,ampache-themes,3.6.1-2
wheezy,amphetamine,amphetamine,0.8.10-18
wheezy,amphetamine-data,amphetamine-data,0.8.7-14
wheezy,ample,ample,0.5.7-7
wheezy,ampliconnoise,ampliconnoise,1.25-1
